member_id,name,phone,email,salt,address,avatar,date_of_birth,gender_id
1,毛若穎,0921003614,in.consequat@yahoo.com,0oplfZ16tyLX,366 苗栗縣銅鑼鄉民權路31號,1,1997/09/28,3
2,林芳岑,0988008346,adipiscing.enim.mi@outlook.com,7gB%z9Svg8EW,600 嘉義市東區世賢路24號,2,1999/12/28,1
3,胡素芝,0922830125,nullam.velit@yahoo.com,JJQF0j%tkx3i,325 桃園市龍潭區淮子埔一路29號,3,2005/06/06,4
4,童雅婷,0958351743,sed.auctor@hotmail.com,Rv$uGmL&C!%g,540 南投縣南投市三和一路14號,4,2001/12/01,3
5,賴麗萍,0912587773,sagittis.nullam@google.com,XcZg6Be^cU2y,508 彰化縣和美鎮潭北路15號,5,2006/11/27,3
6,黃志斌,0960105109,nec.leo.morbi@protonmail.com,aZjy*GvZt@s*,711 臺南市歸仁區崙頂二街11號,6,1985/12/04,2
7,廖松白,0961749001,sociosqu.ad@yahoo.com,j8tI5!wG88PM,411 臺中市太平區北田路14號,7,1982/07/22,2
8,徐嘉柏,0928735721,proin.non@protonmail.com,n7UDOe0uspZk,801 高雄市前金區自立二路18號,8,1986/02/09,2
9,李麗珠,0968169143,arcu.vel.quam@hotmail.com,wlmM33nAD@SR,201 基隆市信義區義四路22號,9,2008/09/09,3
10,施泓音,0970691667,dui.quis.accumsan@google.com,&@^ODhk0MH&l,622 嘉義縣大林鎮早知31號,10,1998/11/11,1
